uid,max_length,correct_num,overall_score,weighted_score,mm_score,MAAE_deg,LocationAccuracy_%,CategoryAccuracy_%,JointAccuracy_%,accuracy,reactionTime,angularError,spatialAbilityScore,N,E,S,W,NE,SE,SW,NW,Score
20,5,6,30,19,20.24,11.246697743733725,66.66666666666666,100.0,66.66666666666666,0.4167,3.3366,45.0,40.14,0.8333333333333334,0.5833333333333333,0.9090909090909091,0.5555555555555556,0.6153846153846154,0.5714285714285714,0.8888888888888888,1.0,0.7446269008769009
22,6,11,66,38,68.62,19.857716878255207,66.66666666666666,100.0,66.66666666666666,0.25,3.3302,75.0,16.38,0.6666666666666667,1.0,0.8181818181818181,0.6666666666666667,0.9230769230769231,0.7142857142857143,0.7777777777777778,0.6666666666666667,0.7791652791652792
24,7,13,91,52,91.94,0.0,100.0,100.0,100.0,0.5833,4.1777,26.25,60.22,1.0,1.0,0.8181818181818181,1.0,1.0,1.0,0.8888888888888888,1.0,0.9633838383838385
23,4,6,24,16,14.62,30.355809529622395,66.66666666666666,100.0,66.66666666666666,0.5833,1.4892,60.0,83.39,,,,,,,,,
